"Country_Label","Country_Alpha3","Products","HS4","StartingDate","EndDate","Year","Category","Description","Source","Source2","ProtectedCountries","Share_of_exports_Kcal","Share_of_exports_USD","Share_in_World_Kcal","Share_in_World_USD","Share_in_World_Total_Kcal","Share_in_World_Total_USD"
"Argentina","ARG","Beef meat",201,"2022-01-01 00:00:00","2023-12-31 00:00:00",2022,"Ban","In Argentina it will be prohibited to export certain cuts of meat for two years. The Government of the country published this Monday a measure in the Official Gazette in which it announced a limitation on the export of seven cuts of meat called ""Preferred"" in its fresh, chilled or frozen modality.","https://cnnespanol.cnn.com/2022/01/03/carne-cortes-exportar-argentina-orix/#:~:text=cnnargentina-,El%20Gobierno%20argentino%20proh%C3%ADbe%20exportar%20siete%20cortes%20de%20carne%20vacuna,publicaron%20en%20el%20Bolet%C3%ADn%20Oficial.","https://www.boletinoficial.gob.ar/detalleAviso/primera/255612/20220103",,0.00043045076,0.01885272113,0.03712999045,0.05530644787,0.00003472245789,0.0006642370875
"Argentina","ARG","Beef meat",202,"2022-01-01 00:00:00","2023-12-31 00:00:00",2022,"Licensing","In Argentina it will be prohibited to export certain cuts of meat for two years. The Government of the country published this Monday a measure in the Official Gazette in which it announced a limitation on the export of seven cuts of meat called ""Preferred"" in its fresh, chilled or frozen modality.","https://cnnespanol.cnn.com/2022/01/03/carne-cortes-exportar-argentina-orix/#:~:text=cnnargentina-,El%20Gobierno%20argentino%20proh%C3%ADbe%20exportar%20siete%20cortes%20de%20carne%20vacuna,publicaron%20en%20el%20Bolet%C3%ADn%20Oficial.","https://www.boletinoficial.gob.ar/detalleAviso/primera/255612/20220103",,0.000987445974,0.01995423868,0.03349931809,0.03457638777,0.00007965266749,0.0007030468064
"Indonesia","IDN","Palm oil",1511,"2022-01-01 00:00:00","2022-05-22 00:00:00",2022,"Ban","On Jan. 27 Indonesia issued a mandate for palm oil producers to set aside 20% of their crude palm oil shipments for local buyers as the world's largest vegetable oil producer and exporter tries to curb high domestic edible oil prices","https://www.spglobal.com/commodity-insights/en/market-insights/latest-news/agriculture/020922-indonesia-expands-domestic-market-obligations-to-cover-all-palm-oil-exports","https://www.bloomberg.com/news/articles/2022-05-19/indonesia-lifts-palm-oil-export-ban-in-relief-to-global-market",,0.745791722,0.5156000875,0.5478427679,0.5313410797,0.05011877845,0.01532859155
"Moldova","MDA","Wheat, Sugar, Corn","1001;1701;1005","2022-03-01 00:00:00","2022-06-24 00:00:00",2022,"Ban","The Republic of Moldova communicates about the imposition, due to potential shortages of products, as of 1 March 2022, of the temporary export restrictions on wheat, corn and sugar","https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/G/MAQRN/MDA2A2.pdf&Open=True","https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/G/MAQRN/MDA2A3.pdf&Open=True",,0.4668136715,0.186611395,0.003381584686,0.002732352048,0.001106637681,0.0002618548428
"Hungary","HUN","Wheat, rye, barley, oat, corn, soy beans, sunflower seeds","1001;1002;1003;1004;1005;1201;1206","2022-03-06 00:00:00","2022-05-15 00:00:00",2022,"Ban","Hungary banned all grain exports effective immediately due to price increases caused by the Russian invasion of Ukraine, minister of agriculture Istvan Nagy told television channel RTL on Friday","https://www.reuters.com/article/ukraine-crisis-hungary-grains-idAFL5N2V75IT","https://hvg.hu/gazdasag/20220306_Az_ukrajnai_haboru_miatt_gabonakiviteli_tilalom_lepett_eletbe",,,,0,0,0,0
"Indonesia","IDN","Palm oil, palm kernal oil","1511;1513","2022-01-31 00:00:00","2022-06-07 00:00:00",2022,"Licensing","Economy Minister Airlangga Hartarto said on Friday the government will impose a domestic market obligation (DMO) on palm oil to ensure 10 million tonnes of cooking oil remains at home","https://www.aljazeera.com/economy/2022/5/20/indonesia-flags-sales-rule-after-ditching-palm-oil-export-ban","https://www.reuters.com/markets/commodities/indonesia-ministry-hold-briefing-lifting-palm-oil-export-ban-2022-05-20/",,0.8119512048,0.6087968742,0.5461264215,0.5168385347,0.05456483539,0.01809929604
"Ukraine","UKR","wheat, oats, millet, sugar","1001;1004;1008;1701","2022-03-09 00:00:00","2022-05-10 00:00:00",2022,"Ban","Ukraine's government has banned the export of wheat, oats and other staples that are crucial for global food supplies as authorities try to ensure they can feed people during Russia's intensifying war","https://abcnews.go.com/International/wireStory/ukraine-bans-exports-wheat-oats-food-staples-83337319","https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/G/MAQRN/UKR5A5.pdf&Open=True",,0.2839325101,0.2166004992,0.07578400406,0.05864131177,0.01591871272,0.003984357244
"Serbia","SRB","Wheat, corn, flour, oil","1001;1005;1101;1102;1103;1104;1507;1508;1509;1510;1511;1512;1513;1514;1515","2022-03-10 00:00:00","2022-04-20 00:00:00",2022,"Ban","Serbia will ban exports of wheat, corn, flour and cooking oil as of Thursday to counter price increases caused by Russia’s invasion of Ukraine, President Aleksandar Vucic told B92 TV","https://www.reuters.com/article/ukraine-crisis-serbia-grains/serbia-to-ban-exports-of-some-foodstuffs-president-says-idINL2N2VC0OL",,"MKD",0.5403785511,0.1927867003,0.004122797236,0.003814804708,0.001848038446,0.0005345552832
"Egypt","EGY","wheat, flour, oils, lentils, pasta, beans, gravel and mashedush.","1001;1101;1102;1103;1104;1507;1508;1509;1510;1511;1512;1513;1514;1515;0708;1902","2022-03-10 00:00:00","2022-06-10 00:00:00",2022,"Ban","Trade and Industry Minister Nevin Jameh issued two separate decisions to halt the export of 8 essential commodities for a period of three months , in an effort to support supplies amid the turmoil in the global food market caused by the war in Ukraine. The eight commodities are: wheat, flour, oils, corn, lentils, pasta, beans, gravel and mashedush.","https://enterprise.press/ar/issues/2022/03/13/%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%AA%D8%AD%D8%B8%D8%B1-%D8%AA%D8%B5%D8%AF%D9%8A%D8%B1-8-%D8%B3%D9%84%D8%B9-%D8%A3%D8%B3%D8%A7%D8%B3%D9%8A%D8%A9-%D9%84%D9%85%D8%AF%D8%A9-3-%D8%A3%D8%B4/#tldr-story-01","https://www.nasdaq.com/articles/egypt-bans-export-of-some-staples-including-wheat-for-three-months",,0.4981884154,0.09556438232,0.006542940167,0.004549745331,0.00217224061,0.0005375473792
"Algeria","DZA","Pasta, wheat derivatives, vegetable oil, sugar","1902;1507;1508;1509;1510;1511;1512;1513;1514;1515;1701;1101;1902;1101;1102;1103;1104","2022-03-13 00:00:00","2022-12-31 00:00:00",2022,"Ban","Algeria has banned exporting foodstuffs it imports such as sugar, vegoil, pasta, semolina and wheat derivatives, the state news agency APS said on Sunday","https://www.reuters.com/article/grains-algeria-ban/algeria-bans-exporting-foodstuffs-including-sugar-and-wheat-derivatives-idUSC6N2SW02H",,,0.9676789129,0.7076828388,0.002592367254,0.00284644209,0.0006316577526,0.0003015893223
